Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Togo Agricultural Sector Support Project,P118045,Western and Central Africa,Closed,Republic of Togo,Ministere de l' Agriculture de l' Elevage et du Developpement Rural,https://projects.worldbank.org/en/projects-operations/project-detail/P118045,2011-04-12T00:00:00Z,44900000,44900000,,Government of Togo,B
APL on Strengthening Regional Cooperation For Wildlife Protection in Asia,P121210,South Asia,Closed,South Asia,"Department of Forests, Ministry of Environment and Forests, Department of National Parks and Wildlife Conservation, Bangladesh Forest Department",https://projects.worldbank.org/en/projects-operations/project-detail/P121210,2011-04-07T00:00:00Z,39000000,39000000,,"Economic Relations Division, Ministry of Finance, Ministry of Finance",B
Irrigation Development and Support Project,P102459,Eastern and Southern Africa,Active,Republic of Zambia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P102459,2011-04-07T00:00:00Z,201020000,201020000,,Ministry of Finance,A
TG-Economic Recovery & Gov. Grant 4,P122806,Western and Central Africa,Closed,Republic of Togo,,https://projects.worldbank.org/en/projects-operations/project-detail/P122806,2011-04-05T00:00:00Z,28000000,28000000,,,
Land Administration Project - 2,P120636,Western and Central Africa,Closed,Republic of Ghana,"Land Commission, Ministry of Lands and Natural Resources",https://projects.worldbank.org/en/projects-operations/project-detail/P120636,2011-03-31T00:00:00Z,55000000,55000000,,"Government of Ghana, Ministry of Finance",B
GEF - Africa - 2nd phase fish. (GBissau),P119380,Western and Central Africa,Closed,Western and Central Africa,State Secretariat for Fisheries and Maritime Economy,https://projects.worldbank.org/en/projects-operations/project-detail/P119380,2011-03-31T00:00:00Z,8000000,8000000,,Secretary of State for Fisheries,B
Support to Protected Areas Management,P122419,Western and Central Africa,Closed,Republic of Benin,CENAGREF,https://projects.worldbank.org/en/projects-operations/project-detail/P122419,2011-03-29T00:00:00Z,5000000,5000000,,"Ministry of Environment, Habitat and Urban Develolpment, CENAGREF",B
West Africa Agricultural Productivity Program APL (WAAPP-1C),P122065,Western and Central Africa,Closed,Western and Central Africa,"CORAF/WECARD, Ministry of Agriculture Livestock and Fisheries, Ministry of Agriculture",https://projects.worldbank.org/en/projects-operations/project-detail/P122065,2011-03-24T00:00:00Z,118800000,118800000,"35,000,000","Republic of Guinea, Government of Togo, Ministry of Finance, Republic of Sierra Leone, Ministry of Agriculture, Republic of Togo, Republic of The Gambia, Government of Niger, Republic of Benin, Republic of Liberia, Republic of Niger, Government of Sierra Leone, Government of Liberia, Ministry of Economy and Finance",B
Water Resources and Irrigation Sector Management Program 2,P114348,East Asia and Pacific,Closed,Republic of Indonesia,Ministry of Public Works (DG Water Resources),https://projects.worldbank.org/en/projects-operations/project-detail/P114348,2011-03-22T00:00:00Z,202560000,202560000,,Ministry of Finance,B
Agricultural Productivity and Diversification,P115886,Western and Central Africa,Closed,Republic of Benin,Ministere de l'Agriculture de l'Elevage de la Peche (MAEP),https://projects.worldbank.org/en/projects-operations/project-detail/P115886,2011-03-22T00:00:00Z,61400000,61400000,"15,000,000",Ministry of Economy and Finance,B
Community Agricultural Resource Management and Competitiveness Project,P120028,Europe and Central Asia,Closed,Republic of Armenia,Agriculture Projects Implementation Unit,https://projects.worldbank.org/en/projects-operations/project-detail/P120028,2011-03-22T00:00:00Z,21330000,21330000,,MINISTRY OF FINANCE,B
Local Development Program Support Project II,P113030,Western and Central Africa,Closed,Republic of Chad,"Chad - Ministry of Land Management, Urban, and Housing",https://projects.worldbank.org/en/projects-operations/project-detail/P113030,2011-03-18T00:00:00Z,77250000,77250000,,"Ministry of Land Management, Urban, and Housing (MLMH)",B
MZ PROIRRI Sustainable Irrigation Development,P107598,Eastern and Southern Africa,Closed,Republic of Mozambique,Institututo Nacional de Irrigacao,https://projects.worldbank.org/en/projects-operations/project-detail/P107598,2011-03-17T00:00:00Z,92150000,92150000,,Ministry of Economy and Finance,B
Guinea-Bissau Biodiversity Conservation Project,P122047,Western and Central Africa,Closed,Republic of Guinea-Bissau,Institute for Biodiversity and Protected Areas,https://projects.worldbank.org/en/projects-operations/project-detail/P122047,2011-03-17T00:00:00Z,1950000,1950000,,IBAP,B
First Development Policy Loan in support of the Plan Maroc Vert,P116557,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P116557,2011-03-15T00:00:00Z,205000000,205000000,,,
Seventh Poverty Reduction Support Grant,P117495,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P117495,2011-02-24T00:00:00Z,104400000,104400000,,,
Ethiopia Protection of Basic Services Phase 2 Project Additional Financing,P121727,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P121727,2011-02-22T00:00:00Z,1074800000,1074800000,,,B
EU Natura 2000 Integration Project,P111205,Europe and Central Asia,Closed,Republic of Croatia,Ministry of Environment and Energy,https://projects.worldbank.org/en/projects-operations/project-detail/P111205,2011-02-10T00:00:00Z,32600000,32600000,,Ministry of Finance,B
Strengthening Statistical Capacity and Informational Base for Evidence-Based Planning,P101336,Latin America and Caribbean,Closed,Plurinational State of Bolivia,Instituto Nacional de Estadisticas,https://projects.worldbank.org/en/projects-operations/project-detail/P101336,2011-01-13T00:00:00Z,50000000,50000000,,THE PLURINATIONAL STATE OF BOLIVIA,C
Rajasthan Rural Livelihoods Project (RRLP),P102329,South Asia,Closed,Republic of India,Rajasthan Grameen Ajeevika Vikas Parishad (RGAVP),https://projects.worldbank.org/en/projects-operations/project-detail/P102329,2011-01-11T00:00:00Z,183800000,183800000,,Republic of India,B
Uttarakhand Decentralized Watershed Project Additional Financing,P124354,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P124354,2011-01-11T00:00:00Z,10490000,10490000,,,B
4th Northwest Mountainous & Forested Areas Development Project (PNO4),P119140,Middle East and North Africa,Closed,Republic of Tunisia,ODESYPANO (Northwest Sylvo-pastoral Development Office under MAHRP),https://projects.worldbank.org/en/projects-operations/project-detail/P119140,2010-12-20T00:00:00Z,57160000,57160000,,REPUBLIC OF TUNISIA,B
Seventh Poverty Reduction Support Credit (PRSC7),P122470,Eastern and Southern Africa,Closed,Republic of Mozambique,,https://projects.worldbank.org/en/projects-operations/project-detail/P122470,2010-12-16T00:00:00Z,85000000,85000000,,,
EGYPT-Farm-level Irrigation Modernization,P117745,Middle East and North Africa,Closed,Arab Republic of Egypt,Ministry of Agriculture and Land Reclamation,https://projects.worldbank.org/en/projects-operations/project-detail/P117745,2010-12-14T00:00:00Z,180000000,180000000,"50,000,000","Government of Egypt, Ministry of International Cooperation",B
"TAMIL NADU EMPOWERMENT AND POVERTY REDUCTION ""VAZHNDHU KATTUVOM"" PROJECT ADDITIONAL FINANCING",P107668,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P107668,2010-11-18T00:00:00Z,191000000,191000000,,,B
Additional Financing - Solomon Islands Rural Development Program,P121631,East Asia and Pacific,Closed,Solomon Islands,,https://projects.worldbank.org/en/projects-operations/project-detail/P121631,2010-10-21T00:00:00Z,6000000,6000000,,,B
Additional Financing for Mali Rural Community Development Project,P121057,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P121057,2010-09-30T00:00:00Z,11200000,11200000,,,B
MZ - Spatial Development Planning Technical Assistance Project,P121398,Eastern and Southern Africa,Closed,Republic of Mozambique,Ministry of Transport and Communication,https://projects.worldbank.org/en/projects-operations/project-detail/P121398,2010-09-30T00:00:00Z,20000000,20000000,,Ministry of Economy and Finance,C
The Gambia - Growth & Competitiveness,P114240,Western and Central Africa,Closed,Republic of The Gambia,"The Investment & Export Promotion Agency, Tourism Marketing committee, Gambia Tourism Board",https://projects.worldbank.org/en/projects-operations/project-detail/P114240,2010-09-30T00:00:00Z,12000000,12000000,,Ministry of Finance,B
West Africa Agricultural Productivity Program APL (WAAPP-1B),P117148,Western and Central Africa,Closed,Western and Central Africa,CORAF/WECARD,https://projects.worldbank.org/en/projects-operations/project-detail/P117148,2010-09-30T00:00:00Z,119000000,119000000,,"Government of Côte d'Ivoire, Burkina Faso, FEDERAL GOVERNMENT OF NIGERIA",B
ET: Agricultural Growth Program,P113032,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,Ministry of Agriculture and Natural Resources,https://projects.worldbank.org/en/projects-operations/project-detail/P113032,2010-09-30T00:00:00Z,367800000,367800000,"131,400,000","Federal Ministry of Finance and Economic Development, Federal Democratic Republic of Ethiopia",B
Highways Rehabilitation Project,P123311,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P123311,2010-09-28T00:00:00Z,130000000,130000000,,,B
Tanzania Poverty Reduction Support Credit 8,P116666,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P116666,2010-09-28T00:00:00Z,115000000,115000000,,,
Maharashtra Agricultural Competitiveness Project,P120836,South Asia,Closed,Republic of India,Department of Cooperation & Marketing,https://projects.worldbank.org/en/projects-operations/project-detail/P120836,2010-09-28T00:00:00Z,153000000,153000000,,Republic of India,B
"Irrigation, Rural Livelihoods and Agricultural Development Project",P121120,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P121120,2010-09-20T00:00:00Z,12700000,12700000,,,B
Economic Management and Governance Reform Grant III,P120534,Western and Central Africa,Closed,Central African Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P120534,2010-09-17T00:00:00Z,8800000,8800000,,,
Santa Catarina Rural Competitiveness,P118540,Latin America and Caribbean,Closed,Federative Republic of Brazil,Secretaria Executiva Estadual - SEE,https://projects.worldbank.org/en/projects-operations/project-detail/P118540,2010-09-02T00:00:00Z,189000000,189000000,,State Government of Santa Catarina,B
Peru Third Programmatic Environmental Development Policy Loan,P118713,Latin America and Caribbean,Closed,Republic of Peru,Ministry of Economy and Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P118713,2010-08-05T00:00:00Z,75000000,75000000,,,
Kenya Coastal Development Proejct,P094692,Eastern and Southern Africa,Closed,Republic of Kenya,KEMFRI,https://projects.worldbank.org/en/projects-operations/project-detail/P094692,2010-07-27T00:00:00Z,37000000,37000000,,Government of Kenya,B
Integrated Forestry Development Project,P105872,East Asia and Pacific,Closed,People's Republic of China,State Forestry Administration,https://projects.worldbank.org/en/projects-operations/project-detail/P105872,2010-07-06T00:00:00Z,200000000,200000000,,People’s Republic of China,B
Malawi additional financing for Social Action Fund  3 APLII,P121065,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P121065,2010-06-30T00:00:00Z,14700000,14700000,,,B
National Solidarity Program III,P117103,South Asia,Closed,Islamic  Republic of Afghanistan,Ministry of Rural Rehabilitation & Development,https://projects.worldbank.org/en/projects-operations/project-detail/P117103,2010-06-29T00:00:00Z,40000000,40000000,,Islamic Republic of Afghanistan,B
IN Dam Rehabilitation and Improvement Project,P089985,South Asia,Closed,Republic of India,"Kerala State Electricity Board, TANGEDCO Tamil Nadu, Central Water Commission under the Ministry of Water Resources, Karnataka Water Resources Development Organisation, Kerala Water Resources Department, Tamil Nadu Water Resources Department, Uttarakhand Jal Vidyut Nigam Limited, Odisha Water Resource Department",https://projects.worldbank.org/en/projects-operations/project-detail/P089985,2010-06-29T00:00:00Z,437500000,437500000,,India,B
Poverty Reduction Support Credit (10),P117278,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P117278,2010-06-29T00:00:00Z,90000000,90000000,,,
